=== Market Cap Auto-Sell Monitor ===

Sell trigger: $6000 market cap
Monitoring 10 tokens:

  SEEKBOT (wallet-1): 9T95V7S1y7L8...
  AVAULT (wallet-2): APXYEg1wQheu...
  NSWAP (wallet-3): 7PV9EpZXivde...
  PCHAIN (wallet-4): D8u7g47FCPtM...
  SEEDG (wallet-5): 8k51Q6gvA8nU...
  SKNET (wallet-6): FYVK2YQrXT47...
  MDAO (wallet-7): GFgbDMJmMmrK...
  TRELAY (wallet-8): AemCtvSpewGh...
  CSIGN (wallet-9): kynRpxt3ASUk...
  SWARM (wallet-10): F3kXwe6eF8hS...

Starting monitor (polling every 15s + WebSocket)...

WebSocket connected — subscribing to token trades...
  [9:55:23 AM] SKNET trade: mcap ~$2395 (buy)
  [9:55:26 AM] SEEKBOT: $5149 mcap (target: $6000)
  [9:55:27 AM] AVAULT: $5129 mcap (target: $6000)
  [9:55:29 AM] NSWAP: $5132 mcap (target: $6000)
  [9:55:31 AM] PCHAIN: $5122 mcap (target: $6000)
  [9:55:33 AM] SEEDG: $5142 mcap (target: $6000)
  [9:55:34 AM] SKNET: $5127 mcap (target: $6000)
  [9:55:36 AM] MDAO: $5273 mcap (target: $6000)
  [9:55:37 AM] CSIGN trade: mcap ~$2406 (buy)
  [9:55:38 AM] TRELAY: $5138 mcap (target: $6000)
  [9:55:40 AM] CSIGN: $5303 mcap (target: $6000)
  [9:55:41 AM] SWARM: $5155 mcap (target: $6000)
  [9:55:58 AM] SEEKBOT: $4834 mcap (target: $6000)
  [9:56:00 AM] AVAULT: $4814 mcap (target: $6000)
  [9:56:02 AM] NSWAP: $4818 mcap (target: $6000)
  [9:56:04 AM] PCHAIN: $4808 mcap (target: $6000)
  [9:56:06 AM] SEEDG: $4827 mcap (target: $6000)
  [9:56:08 AM] SKNET: $4813 mcap (target: $6000)
  [9:56:09 AM] MDAO: $4950 mcap (target: $6000)
  [9:56:11 AM] TRELAY: $4824 mcap (target: $6000)
  [9:56:13 AM] CSIGN: $4978 mcap (target: $6000)
  [9:56:15 AM] SWARM: $4840 mcap (target: $6000)
  [9:56:21 AM] SEEDG trade: mcap ~$2265 (buy)
  [9:56:32 AM] SEEKBOT: $4834 mcap (target: $6000)
  [9:56:33 AM] AVAULT: $4814 mcap (target: $6000)
  [9:56:35 AM] NSWAP: $4818 mcap (target: $6000)
  [9:56:37 AM] PCHAIN: $4808 mcap (target: $6000)
  [9:56:39 AM] SEEDG: $4830 mcap (target: $6000)
  [9:56:40 AM] SWARM trade: mcap ~$2440 (buy)
  [9:56:41 AM] SKNET: $4813 mcap (target: $6000)
  [9:56:43 AM] MDAO: $4950 mcap (target: $6000)
  [9:56:46 AM] AVAULT trade: mcap ~$2403 (buy)
  [9:56:46 AM] TRELAY: $4824 mcap (target: $6000)
  [9:56:48 AM] CSIGN: $4978 mcap (target: $6000)
  [9:56:50 AM] SWARM: $4855 mcap (target: $6000)
  [9:57:07 AM] SEEKBOT: $5158 mcap (target: $6000)
  [9:57:09 AM] AVAULT: $5141 mcap (target: $6000)
  [9:57:10 AM] NSWAP: $5141 mcap (target: $6000)
  [9:57:12 AM] PCHAIN: $5131 mcap (target: $6000)
  [9:57:14 AM] SEEDG: $5155 mcap (target: $6000)
  [9:57:15 AM] SKNET: $5136 mcap (target: $6000)
  [9:57:17 AM] MDAO: $5282 mcap (target: $6000)
  [9:57:20 AM] TRELAY: $5148 mcap (target: $6000)
  [9:57:22 AM] CSIGN: $5313 mcap (target: $6000)
  [9:57:23 AM] SWARM: $5181 mcap (target: $6000)
  [9:57:24 AM] TRELAY trade: mcap ~$2414 (buy)
  [9:57:40 AM] SEEKBOT: $4834 mcap (target: $6000)
  [9:57:42 AM] AVAULT: $4818 mcap (target: $6000)
  [9:57:43 AM] TRELAY trade: mcap ~$2277 (buy)
  [9:57:44 AM] NSWAP: $4818 mcap (target: $6000)
  [9:57:46 AM] PCHAIN: $4808 mcap (target: $6000)
  [9:57:47 AM] SEEDG: $4830 mcap (target: $6000)
  [9:57:49 AM] SKNET: $4813 mcap (target: $6000)
  [9:57:51 AM] MDAO: $4950 mcap (target: $6000)
  [9:57:53 AM] TRELAY: $4843 mcap (target: $6000)
  [9:57:54 AM] SWARM trade: mcap ~$2291 (buy)
  [9:57:54 AM] CSIGN: $4978 mcap (target: $6000)
  [9:57:56 AM] SWARM: $4858 mcap (target: $6000)
  [9:58:13 AM] SEEKBOT: $4834 mcap (target: $6000)
  [9:58:15 AM] AVAULT: $4818 mcap (target: $6000)
  [9:58:17 AM] NSWAP: $4818 mcap (target: $6000)
  [9:58:18 AM] PCHAIN: $4808 mcap (target: $6000)
  [9:58:20 AM] SEEDG: $4830 mcap (target: $6000)
  [9:58:22 AM] SKNET: $4813 mcap (target: $6000)
  [9:58:23 AM] MDAO: $4950 mcap (target: $6000)
  [9:58:25 AM] TRELAY: $4843 mcap (target: $6000)
  [9:58:27 AM] CSIGN: $4978 mcap (target: $6000)
  [9:58:29 AM] SWARM: $4858 mcap (target: $6000)
  [9:58:46 AM] SEEKBOT: $5160 mcap (target: $6000)
  [9:58:48 AM] AVAULT: $5143 mcap (target: $6000)
  [9:58:48 AM] NSWAP trade: mcap ~$2409 (buy)
  [9:58:49 AM] NSWAP: $5147 mcap (target: $6000)
  [9:58:51 AM] PCHAIN: $5133 mcap (target: $6000)
  [9:58:53 AM] SEEDG: $5157 mcap (target: $6000)
  [9:58:54 AM] SKNET: $5138 mcap (target: $6000)
  [9:58:56 AM] MDAO: $5285 mcap (target: $6000)
  [9:58:58 AM] TRELAY: $5170 mcap (target: $6000)
  [9:59:00 AM] CSIGN: $5315 mcap (target: $6000)
  [9:59:02 AM] SWARM: $5187 mcap (target: $6000)
  [9:59:02 AM] SEEDG trade: mcap ~$2437 (buy)
  [9:59:19 AM] SEEKBOT: $4834 mcap (target: $6000)
  [9:59:20 AM] AVAULT: $4818 mcap (target: $6000)
  [9:59:22 AM] NSWAP: $4821 mcap (target: $6000)
  [9:59:24 AM] PCHAIN: $4808 mcap (target: $6000)
  [9:59:25 AM] SEEDG: $4849 mcap (target: $6000)
  [9:59:27 AM] SKNET: $4813 mcap (target: $6000)
  [9:59:29 AM] MDAO: $4950 mcap (target: $6000)
  [9:59:31 AM] TRELAY: $4843 mcap (target: $6000)
  [9:59:32 AM] CSIGN: $4978 mcap (target: $6000)
  [9:59:34 AM] SWARM: $4858 mcap (target: $6000)
  [9:59:51 AM] SEEKBOT: $4834 mcap (target: $6000)
  [9:59:52 AM] SWARM trade: mcap ~$2308 (buy)
  [9:59:53 AM] AVAULT: $4818 mcap (target: $6000)
  [9:59:55 AM] NSWAP: $4821 mcap (target: $6000)
  [9:59:56 AM] PCHAIN: $4808 mcap (target: $6000)
  [9:59:58 AM] SEEDG: $4849 mcap (target: $6000)
  [10:00:00 AM] SKNET: $4813 mcap (target: $6000)
  [10:00:02 AM] MDAO: $4950 mcap (target: $6000)
  [10:00:04 AM] TRELAY: $4843 mcap (target: $6000)
  [10:00:06 AM] CSIGN: $4978 mcap (target: $6000)
  [10:00:07 AM] SWARM: $4875 mcap (target: $6000)
  [10:00:23 AM] MDAO trade: mcap ~$2545 (buy)
  [10:00:24 AM] SEEKBOT: $5165 mcap (target: $6000)
  [10:00:26 AM] AVAULT: $5148 mcap (target: $6000)
  [10:00:28 AM] NSWAP: $5151 mcap (target: $6000)
  [10:00:30 AM] PCHAIN: $5137 mcap (target: $6000)
  [10:00:32 AM] SEEDG: $5181 mcap (target: $6000)
  [10:00:33 AM] SKNET: $5142 mcap (target: $6000)
  [10:00:35 AM] MDAO: $5292 mcap (target: $6000)
  [10:00:37 AM] TRELAY: $5175 mcap (target: $6000)
  [10:00:39 AM] CSIGN: $5319 mcap (target: $6000)
  [10:00:40 AM] SWARM: $5209 mcap (target: $6000)
  [10:00:55 AM] TRELAY trade: mcap ~$2292 (buy)
  [10:00:57 AM] SEEKBOT: $4834 mcap (target: $6000)
  [10:00:59 AM] AVAULT: $4818 mcap (target: $6000)
  [10:01:01 AM] NSWAP: $4821 mcap (target: $6000)
  [10:01:03 AM] PCHAIN: $4808 mcap (target: $6000)
  [10:01:05 AM] SEEDG: $4849 mcap (target: $6000)
  [10:01:07 AM] SKNET: $4813 mcap (target: $6000)
  [10:01:08 AM] MDAO: $4953 mcap (target: $6000)
  [10:01:10 AM] TRELAY: $4859 mcap (target: $6000)
  [10:01:12 AM] CSIGN: $4978 mcap (target: $6000)
  [10:01:13 AM] SWARM: $4875 mcap (target: $6000)
  [10:01:23 AM] TRELAY trade: mcap ~$2295 (buy)
  [10:01:30 AM] SEEKBOT: $4834 mcap (target: $6000)
  [10:01:32 AM] AVAULT: $4818 mcap (target: $6000)
  [10:01:34 AM] NSWAP: $4821 mcap (target: $6000)
  [10:01:36 AM] PCHAIN: $4808 mcap (target: $6000)
  [10:01:37 AM] SEEDG: $4849 mcap (target: $6000)
  [10:01:39 AM] SKNET: $4813 mcap (target: $6000)
  [10:01:41 AM] MDAO: $4953 mcap (target: $6000)
  [10:01:42 AM] TRELAY: $4863 mcap (target: $6000)
  [10:01:44 AM] CSIGN: $4978 mcap (target: $6000)
  [10:01:46 AM] SWARM: $4875 mcap (target: $6000)
  [10:01:53 AM] SEEKBOT trade: mcap ~$2271 (buy)
  [10:02:04 AM] SEEKBOT: $5168 mcap (target: $6000)
  [10:02:06 AM] AVAULT: $5148 mcap (target: $6000)
  [10:02:08 AM] NSWAP: $5151 mcap (target: $6000)
  [10:02:09 AM] PCHAIN: $5137 mcap (target: $6000)
  [10:02:11 AM] SEEDG: $5181 mcap (target: $6000)
  [10:02:13 AM] SKNET: $5142 mcap (target: $6000)
  [10:02:15 AM] MDAO: $5292 mcap (target: $6000)
  [10:02:17 AM] TRELAY: $5196 mcap (target: $6000)
  [10:02:19 AM] CSIGN: $5319 mcap (target: $6000)
  [10:02:21 AM] SWARM: $5209 mcap (target: $6000)
  [10:02:23 AM] CSIGN trade: mcap ~$2586 (buy)
  [10:02:38 AM] SEEKBOT: $4837 mcap (target: $6000)
  [10:02:39 AM] AVAULT: $4818 mcap (target: $6000)
  [10:02:41 AM] NSWAP: $4821 mcap (target: $6000)
  [10:02:43 AM] PCHAIN: $4808 mcap (target: $6000)
  [10:02:44 AM] SEEDG: $4849 mcap (target: $6000)
  [10:02:46 AM] SKNET: $4813 mcap (target: $6000)
  [10:02:46 AM] PCHAIN trade: mcap ~$2247 (buy)
  [10:02:48 AM] MDAO: $4953 mcap (target: $6000)
  [10:02:50 AM] TRELAY: $4863 mcap (target: $6000)
  [10:02:51 AM] CSIGN: $4993 mcap (target: $6000)
  [10:02:53 AM] SWARM: $4875 mcap (target: $6000)
  [10:03:10 AM] SEEKBOT: $4837 mcap (target: $6000)
  [10:03:12 AM] AVAULT: $4818 mcap (target: $6000)
  [10:03:14 AM] NSWAP: $4821 mcap (target: $6000)
  [10:03:15 AM] PCHAIN: $4811 mcap (target: $6000)
  [10:03:16 AM] MDAO trade: mcap ~$2395 (buy)
  [10:03:17 AM] SEEDG: $4849 mcap (target: $6000)
  [10:03:19 AM] SKNET: $4813 mcap (target: $6000)
  [10:03:21 AM] MDAO: $4966 mcap (target: $6000)
  [10:03:23 AM] TRELAY: $4863 mcap (target: $6000)
  [10:03:26 AM] CSIGN: $4993 mcap (target: $6000)
  [10:03:28 AM] SWARM: $4875 mcap (target: $6000)
  [10:03:45 AM] SEEKBOT: $5178 mcap (target: $6000)
  [10:03:47 AM] AVAULT: $5157 mcap (target: $6000)
  [10:03:48 AM] NSWAP: $5161 mcap (target: $6000)
  [10:03:50 AM] PCHAIN: $5150 mcap (target: $6000)
  [10:03:52 AM] SEEDG: $5190 mcap (target: $6000)
  [10:03:53 AM] SKNET: $5152 mcap (target: $6000)
  [10:03:55 AM] MDAO: $5317 mcap (target: $6000)
  [10:03:57 AM] TRELAY: $5205 mcap (target: $6000)
  [10:03:58 AM] CSIGN: $5345 mcap (target: $6000)
  [10:04:00 AM] SWARM: $5219 mcap (target: $6000)
  [10:04:08 AM] CSIGN trade: mcap ~$2596 (buy)
  [10:04:17 AM] SEEKBOT: $5183 mcap (target: $6000)
  [10:04:19 AM] AVAULT: $5162 mcap (target: $6000)
  [10:04:21 AM] NSWAP: $5165 mcap (target: $6000)
  [10:04:23 AM] PCHAIN: $5155 mcap (target: $6000)
  [10:04:24 AM] SEEDG: $5195 mcap (target: $6000)
  [10:04:26 AM] SKNET: $5157 mcap (target: $6000)
  [10:04:28 AM] MDAO: $5322 mcap (target: $6000)
  [10:04:30 AM] TRELAY: $5210 mcap (target: $6000)
  [10:04:31 AM] CSIGN: $5353 mcap (target: $6000)
  [10:04:33 AM] SWARM: $5224 mcap (target: $6000)
  [10:04:50 AM] SEEKBOT: $5183 mcap (target: $6000)
  [10:04:52 AM] AVAULT: $5162 mcap (target: $6000)
  [10:04:54 AM] NSWAP: $5165 mcap (target: $6000)
  [10:04:55 AM] PCHAIN: $5155 mcap (target: $6000)
  [10:04:57 AM] SEEDG: $5195 mcap (target: $6000)
  [10:04:59 AM] SKNET: $5157 mcap (target: $6000)
  [10:05:01 AM] MDAO: $5322 mcap (target: $6000)
  [10:05:03 AM] TRELAY: $5210 mcap (target: $6000)
  [10:05:04 AM] CSIGN: $5353 mcap (target: $6000)
  [10:05:05 AM] SWARM trade: mcap ~$2476 (buy)
  [10:05:06 AM] SWARM: $5227 mcap (target: $6000)
  [10:05:23 AM] SEEKBOT: $5183 mcap (target: $6000)
  [10:05:25 AM] AVAULT: $5162 mcap (target: $6000)
  [10:05:26 AM] NSWAP: $5165 mcap (target: $6000)
  [10:05:28 AM] PCHAIN: $5155 mcap (target: $6000)
  [10:05:30 AM] SEEDG: $5195 mcap (target: $6000)
  [10:05:32 AM] SKNET: $5157 mcap (target: $6000)
  [10:05:33 AM] MDAO: $5322 mcap (target: $6000)
  [10:05:35 AM] TRELAY: $5210 mcap (target: $6000)
  [10:05:37 AM] CSIGN: $5353 mcap (target: $6000)
  [10:05:39 AM] SWARM: $5227 mcap (target: $6000)
  [10:05:53 AM] AVAULT trade: mcap ~$2256 (buy)
  [10:05:56 AM] SEEKBOT: $4837 mcap (target: $6000)
  [10:05:57 AM] AVAULT: $4821 mcap (target: $6000)
  [10:05:59 AM] NSWAP: $4821 mcap (target: $6000)
  [10:06:01 AM] PCHAIN: $4811 mcap (target: $6000)
  [10:06:02 AM] SEEDG: $4849 mcap (target: $6000)
  [10:06:04 AM] SKNET: $4813 mcap (target: $6000)
  [10:06:06 AM] MDAO: $4966 mcap (target: $6000)
  [10:06:08 AM] TRELAY: $4863 mcap (target: $6000)
  [10:06:09 AM] CSIGN: $4996 mcap (target: $6000)
  [10:06:11 AM] SWARM: $4879 mcap (target: $6000)
  [10:06:21 AM] SWARM trade: mcap ~$2314 (buy)
  [10:06:28 AM] SEEKBOT: $4837 mcap (target: $6000)
  [10:06:31 AM] AVAULT: $4821 mcap (target: $6000)
  [10:06:33 AM] NSWAP: $4821 mcap (target: $6000)
  [10:06:34 AM] PCHAIN: $4811 mcap (target: $6000)
  [10:06:36 AM] SEEDG: $4849 mcap (target: $6000)
  [10:06:38 AM] SKNET: $4813 mcap (target: $6000)
  [10:06:40 AM] MDAO: $4966 mcap (target: $6000)
  [10:06:42 AM] TRELAY: $4863 mcap (target: $6000)
  [10:06:43 AM] CSIGN: $4996 mcap (target: $6000)
  [10:06:45 AM] SKNET trade: mcap ~$2415 (buy)
  [10:06:45 AM] SWARM: $4882 mcap (target: $6000)
  [10:07:02 AM] SEEKBOT: $5187 mcap (target: $6000)
  [10:07:04 AM] AVAULT: $5170 mcap (target: $6000)
  [10:07:06 AM] NSWAP: $5170 mcap (target: $6000)
  [10:07:07 AM] PCHAIN: $5159 mcap (target: $6000)
  [10:07:09 AM] SEEDG: $5199 mcap (target: $6000)
  [10:07:11 AM] SKNET: $5165 mcap (target: $6000)
  [10:07:12 AM] MDAO: $5326 mcap (target: $6000)
  [10:07:14 AM] TRELAY: $5215 mcap (target: $6000)
  [10:07:16 AM] CSIGN: $5357 mcap (target: $6000)
  [10:07:18 AM] SWARM: $5235 mcap (target: $6000)
  [10:07:35 AM] SEEKBOT: $5195 mcap (target: $6000)
